"10","11","1285","2268","3371"
"RASSF3","KLHL42",NA,NA,NA
"TMBIM4","YAF2",NA,NA,NA
"ATXN7L3B","NELL2",NA,NA,NA
"DUSP6","ARF3",NA,NA,NA
"VEZT","LMBR1L",NA,NA,NA
"CRY1","TUBA1B",NA,NA,NA
"SELPLG","TMT1A",NA,NA,NA
"KCTD10","GALNT6",NA,NA,NA
"PPTC7","ACVR1B",NA,NA,NA
"ACAD10","ITGB7",NA,NA,NA
"MED13L","MAP3K12",NA,NA,NA
"GCN1","TARBP2",NA,NA,NA
"PXN","ESYT1",NA,NA,NA
"TMEM120B","TIMELESS",NA,NA,NA
"HIP1R","ATP5F1B",NA,NA,NA
"EIF2B1","R3HDM2",NA,NA,NA
"DHX37","CDK4",NA,NA,NA
"ZNF84","SLC16A7",NA,NA,NA
"PARP4","TAFA2",NA,NA,NA
"PDS5B","XPOT",NA,NA,NA
"WBP4","RASSF3",NA,NA,NA
"DGKH","TMBIM4",NA,NA,NA
"TPT1","ATXN7L3B",NA,NA,NA
"COG3","DUSP6",NA,NA,NA
"RCBTB1","CDK17",NA,NA,NA
"KPNA3","CRY1",NA,NA,NA
"DHRS12","KCTD10",NA,NA,NA
"PCDH9","MED13L",NA,NA,NA
"LMO7","RAB35",NA,NA,NA
"KCTD12","GCN1",NA,NA,NA
"TNFSF13B","PXN",NA,NA,NA
"LAMP1","POP5",NA,NA,NA
"TFDP1","TMEM120B",NA,NA,NA
"OSGEP","KNTC1",NA,NA,NA
"METTL17","HIP1R",NA,NA,NA
"METTL3","EIF2B1",NA,NA,NA
"PRMT5","DHX37",NA,NA,NA
"AP1G2","FBRSL1",NA,NA,NA
"GMPR2","ZNF84",NA,NA,NA
"TINF2","PARP4",NA,NA,NA
"DHRS1","B3GLCT",NA,NA,NA
"SPTSSA","WBP4",NA,NA,NA
"KLHDC2","TPT1",NA,NA,NA
"DDHD1","COG3",NA,NA,NA
"L3HYPDH","RCBTB1",NA,NA,NA
"PRKCH","KPNA3",NA,NA,NA
"SYNE2","DHRS12",NA,NA,NA
"PIGH","PCDH9",NA,NA,NA
"RAD51B","LMO7",NA,NA,NA
"ZFP36L1","KCTD12",NA,NA,NA
"DCAF5","ABCC4",NA,NA,NA
"ERH","TNFSF13B",NA,NA,NA
"TTC9","LAMP1",NA,NA,NA
"RBM25","TFDP1",NA,NA,NA
"NPC2","OSGEP",NA,NA,NA
"FCF1","METTL17",NA,NA,NA
"ANGEL1","METTL3",NA,NA,NA
"SPTLC2","PRMT5",NA,NA,NA
"CPSF2","AP1G2",NA,NA,NA
"CCNK","GMPR2",NA,NA,NA
"CRIP1","TINF2",NA,NA,NA
"IGHM","DHRS1",NA,NA,NA
"ATP10A","KLHDC2",NA,NA,NA
"RMDN3","DDHD1",NA,NA,NA
"RPAP1","GMFB",NA,NA,NA
"TUBGCP4","CGRRF1",NA,NA,NA
"EIF3J-DT","L3HYPDH",NA,NA,NA
"EIF3J","JKAMP",NA,NA,NA
"B2M","PRKCH",NA,NA,NA
"DMXL2","SYNE2",NA,NA,NA
"TMOD2","PIGH",NA,NA,NA
"RAB27A","RAD51B",NA,NA,NA
"CCPG1","ZFP36L1",NA,NA,NA
"RORA","DCAF5",NA,NA,NA
"LACTB","ERH",NA,NA,NA
"CSNK1G1","TTC9",NA,NA,NA
"ANP32A","RBM25",NA,NA,NA
"PARP6","NPC2",NA,NA,NA
"FAM219B","FCF1",NA,NA,NA
"MAN2C1","ANGEL1",NA,NA,NA
"IMP3","ZC3H14",NA,NA,NA
"TSPAN3","FOXN3",NA,NA,NA
"HMG20A","CPSF2",NA,NA,NA
"AEN","CCNK",NA,NA,NA
"ISG20","CRIP1",NA,NA,NA
"HAPLN3","IGHM",NA,NA,NA
"IDH2","ATP10A",NA,NA,NA
"SEMA4B","RMDN3",NA,NA,NA
"NGRN","RPAP1",NA,NA,NA
"SNRPA1","TUBGCP4",NA,NA,NA
"MPG","EIF3J-DT",NA,NA,NA
"RHOT2","EIF3J",NA,NA,NA
"STUB1","B2M",NA,NA,NA
"ANTKMT","GABPB1",NA,NA,NA
"CIAO3","TMOD2",NA,NA,NA
