"10","11","1285","2268","3371"
"FAM135A","TAPBP",NA,NA,NA
"OGFRL1","PHF1",NA,NA,NA
"CGAS","ITPR3",NA,NA,NA
"BCKDHB","SNRPC",NA,NA,NA
"NT5E","ZNF76",NA,NA,NA
"ZNF292","MAPK13",NA,NA,NA
"PNISR","CMTR1",NA,NA,NA
"PREP","CCDC167",NA,NA,NA
"ATG5","ZFAND3",NA,NA,NA
"SEC63","PPP2R5D",NA,NA,NA
"SESN1","SRF",NA,NA,NA
"MICAL1","RUNX2",NA,NA,NA
"CDC40","PLA2G7",NA,NA,NA
"CDK19","EFHC1",NA,NA,NA
"TSPYL1","DST",NA,NA,NA
"NCOA7","FAM135A",NA,NA,NA
"ARHGAP18","SMAP1",NA,NA,NA
"L3MBTL3","CGAS",NA,NA,NA
"RPS12","BCKDHB",NA,NA,NA
"MAP3K5","NT5E",NA,NA,NA
"PHACTR2","ZNF292",NA,NA,NA
"LTV1","PNISR",NA,NA,NA
"UTRN","PREP",NA,NA,NA
"SHPRH","ATG5",NA,NA,NA
"STXBP5","PDSS2",NA,NA,NA
"PPIL4","SEC63",NA,NA,NA
"GINM1","SESN1",NA,NA,NA
"SYNJ2","CD164",NA,NA,NA
"GTF2H5","MICAL1",NA,NA,NA
"EZR","CDC40",NA,NA,NA
"TCP1","CDK19",NA,NA,NA
"QKI","TSPYL1",NA,NA,NA
"MPC1","NCOA7",NA,NA,NA
"CEP43","TRMT11",NA,NA,NA
"DNAAF5","ARHGAP18",NA,NA,NA
"SUN1","L3MBTL3",NA,NA,NA
